year_month,PCODE,ndvi_mean
2002-07,ML01,0.44875227333333334
2002-07,ML0101,0.4876684866666667
2002-07,ML0102,0.3243102433333333
2002-07,ML0103,0.3127197133333333
2002-07,ML0104,0.6880152333333333
2002-07,ML0105,0.5512407533333333
2002-07,ML0106,0.2551191466666667
2002-07,ML0107,0.22246016999999998
2002-07,ML02,0.39937098000000004
2002-07,ML0201,0.34594669666666666
2002-07,ML0202,0.5371173266666667
2002-07,ML0203,0.6386495666666666
2002-07,ML0204,0.5584289533333333
2002-07,ML0205,0.35882500666666667
2002-07,ML0206,0.43668555
2002-07,ML0207,0.24553345333333332
2002-07,ML03,0.58754397
2002-07,ML0301,0.62131419
2002-07,ML0302,0.62226865
2002-07,ML0303,0.6336740833333333
2002-07,ML0304,0.42964890666666666
2002-07,ML0305,0.5930827833333333
2002-07,ML0306,0.6562802
2002-07,ML0307,0.48910498
2002-07,ML04,0.28099695666666663
2002-07,ML0401,0.42581695999999997
2002-07,ML0402,0.37025492666666665
2002-07,ML0403,0.21256818666666666
2002-07,ML0404,0.21610092
2002-07,ML0405,0.2964006633333333
2002-07,ML0406,0.27630371000000004
2002-07,ML0407,0.31159568666666665
2002-07,ML05,0.19488424666666668
2002-07,ML0501,0.22739646333333333
2002-07,ML0502,0.24550894
2002-07,ML0503,0.21827251666666667
2002-07,ML0504,0.17246066666666668
2002-07,ML0505,0.19737774333333333
2002-07,ML0506,0.18042538
2002-07,ML0507,0.20479587333333335
2002-07,ML0508,0.16940658
2002-07,ML06,0.10517451
2002-07,ML0601,0.15029810333333335
2002-07,ML0602,0.10796809
2002-07,ML0603,0.138259828
2002-07,ML0604,0.15195899333333332
2002-07,ML0605,0.09866679
2002-07,ML07,0.11778542666666665
2002-07,ML0701,0.12998137333333334
2002-07,ML0702,0.10319066333333334
2002-07,ML0703,0.12707150833333333
2002-07,ML08,0.09867548
2002-07,ML0801,0.101042745
2002-07,ML0802,0.10938612933333335
2002-07,ML0803,0.09288396466666667
2002-07,ML0804,0.10689278333333334
2002-07,ML09,0.36326296666666663
2002-07,ML0901,0.36326296666666663
2002-07,ML1004,0.11808963733333333
2002-08,ML01,0.5972525333333333
2002-08,ML0101,0.66246742
2002-08,ML0102,0.5007016866666666
2002-08,ML0103,0.46066996666666665
2002-08,ML0104,0.7700540133333332
2002-08,ML0105,0.7004578666666667
2002-08,ML0106,0.4185684333333333
2002-08,ML0107,0.36439403
2002-08,ML02,0.5488372766666667
2002-08,ML0201,0.5297467733333333
2002-08,ML0202,0.6376476233333334
2002-08,ML0203,0.7151300333333334
2002-08,ML0204,0.6760091
2002-08,ML0205,0.5607233433333333
2002-08,ML0206,0.5931098100000001
2002-08,ML0207,0.41297333666666663
2002-08,ML03,0.6624925133333334
2002-08,ML0301,0.6903090866666667
2002-08,ML0302,0.6692469333333334
2002-08,ML0303,0.6843894766666666
2002-08,ML0304,0.5735325533333334
2002-08,ML0305,0.6610979
2002-08,ML0306,0.70249734
2002-08,ML0307,0.6043056433333334
2002-08,ML04,0.4137970766666667
2002-08,ML0401,0.5363776
2002-08,ML0402,0.5083708666666666
2002-08,ML0403,0.32107798000000004
2002-08,ML0404,0.3441380266666667
2002-08,ML0405,0.43380385666666665
2002-08,ML0406,0.42213010666666667
2002-08,ML0407,0.4561607266666667
2002-08,ML05,0.31525744666666666
2002-08,ML0501,0.33134833999999996
2002-08,ML0502,0.38909791333333327
2002-08,ML0503,0.33912634999999997
2002-08,ML0504,0.2962936566666667
2002-08,ML0505,0.32799475
2002-08,ML0506,0.27304470999999997
2002-08,ML0507,0.3388188466666667
2002-08,ML0508,0.2687045533333333
2002-08,ML06,0.11850613333333333
2002-08,ML0601,0.19682120666666666
2002-08,ML0602,0.12474060833333334
2002-08,ML0603,0.22116860000000002
2002-08,ML0604,0.22964795999999998
2002-08,ML0605,0.10045636133333334
2002-08,ML07,0.13506557
2002-08,ML0701,0.17376201666666669
2002-08,ML0702,0.10495753466666667
2002-08,ML0703,0.16437827666666668
2002-08,ML08,0.10126703133333333
2002-08,ML0801,0.10257611866666666
2002-08,ML0802,0.11861761133333333
2002-08,ML0803,0.09488726333333335
2002-08,ML0804,0.10764236999999999
2002-08,ML09,0.44965922666666663
2002-08,ML0901,0.44965922666666663
2002-08,ML1004,0.12709672333333333
2002-09,ML01,0.6378310733333333
2002-09,ML0101,0.7238818666666665
2002-09,ML0102,0.5229696933333333
2002-09,ML0103,0.5343094433333334
2002-09,ML0104,0.7850682999999999
2002-09,ML0105,0.7314355833333334
2002-09,ML0106,0.42969887333333334
2002-09,ML0107,0.4265304466666667
2002-09,ML02,0.5504008699999999
2002-09,ML0201,0.5276769733333334
2002-09,ML0202,0.6349445866666666
2002-09,ML0203,0.7267711766666666
2002-09,ML0204,0.68780009
2002-09,ML0205,0.5793302100000001
2002-09,ML0206,0.60097352
2002-09,ML0207,0.40249189
2002-09,ML03,0.6731698833333333
